"Date","Time","Identity","Internal IP Address","External IP Address","Action","Destination","Categories"
"2014-06-09","21:36:56","Adam","96.31.250.226","96.31.250.226","Blocked","http://tap2-cdn.rubiconproject.com/partner/scripts/rubicon/emily.html?rtb_ext=1&pc=9061/15299&geo=na&co=us","Enterprise Malware"
"2014-06-09","20:44:10","Vong","10.0.0.66","96.31.250.226","Blocked","sp-storage.spccinta.com","Enterprise Malware"
"2014-06-09","19:52:50","Adam","96.31.250.226","96.31.250.226","Blocked","http://tap2-cdn.rubiconproject.com/partner/scripts/rubicon/emily.html?rtb_ext=1&pc=9061/15299&geo=na&co=us","Enterprise Malware"
"2014-06-09","19:52:50","Adam","96.31.250.226","96.31.250.226","Blocked","http://tap2-cdn.rubiconproject.com/partner/scripts/rubicon/emily.html?rtb_ext=1&pc=9061/15299&geo=na&co=us","Enterprise Malware"
"2014-06-09","19:52:32","Adam","96.31.250.226","96.31.250.226","Blocked","http://tap2-cdn.rubiconproject.com/partner/scripts/rubicon/emily.html?rtb_ext=1&pc=9061/15299&geo=na&co=us","Enterprise Malware"
"2014-06-09","19:52:32","Adam","96.31.250.226","96.31.250.226","Blocked","http://tap2-cdn.rubiconproject.com/partner/scripts/rubicon/emily.html?rtb_ext=1&pc=9061/15299&geo=na&co=us","Enterprise Malware"
"2014-06-09","19:46:28","Adam","96.31.250.226","96.31.250.226","Blocked","http://tap2-cdn.rubiconproject.com/partner/scripts/rubicon/emily.html?rtb_ext=1&pc=9061/15299&geo=na&co=us","Enterprise Malware"
"2014-06-09","19:46:27","Adam","96.31.250.226","96.31.250.226","Blocked","http://tap2-cdn.rubiconproject.com/partner/scripts/rubicon/emily.html?rtb_ext=1&pc=9061/15299&geo=na&co=us","Enterprise Malware"
"2014-06-09","19:46:27","Adam","96.31.250.226","96.31.250.226","Blocked","http://tap2-cdn.rubiconproject.com/partner/scripts/rubicon/emily.html?rtb_ext=1&pc=9061/15299&geo=na&co=us","Enterprise Malware"
"2014-06-09","19:28:19","Adam","96.31.250.226","96.31.250.226","Blocked","http://redir.adap.tv/redir/client/FPSDetector.swf","Enterprise Malware"
"2014-06-09","19:28:19","Adam","96.31.250.226","96.31.250.226","Blocked","http://redir.adap.tv/redir/client/FPSDetector.swf","Enterprise Malware"
"2014-06-09","19:28:19","Adam","96.31.250.226","96.31.250.226","Blocked","http://redir.adap.tv/redir/client/FPSDetector.swf","Enterprise Malware"
"2014-06-09","19:28:19","Adam","96.31.250.226","96.31.250.226","Blocked","http://redir.adap.tv/redir/client/FPSDetector.swf","Enterprise Malware"
"2014-06-09","19:28:05","Adam","96.31.250.226","96.31.250.226","Blocked","http://redir.adap.tv/redir/client/FPSDetector.swf","Enterprise Malware"
"2014-06-09","19:28:05","Adam","96.31.250.226","96.31.250.226","Blocked","http://redir.adap.tv/redir/client/FPSDetector.swf","Enterprise Malware"
"2014-06-09","19:28:05","Adam","96.31.250.226","96.31.250.226","Blocked","http://redir.adap.tv/redir/client/FPSDetector.swf","Enterprise Malware"
"2014-06-09","19:28:05","Adam","96.31.250.226","96.31.250.226","Blocked","http://redir.adap.tv/redir/client/FPSDetector.swf","Enterprise Malware"
"2014-06-09","19:25:16","Adam","96.31.250.226","96.31.250.226","Blocked","http://redir.adap.tv/redir/client/FPSDetector.swf","Enterprise Malware"
"2014-06-09","19:25:15","Adam","96.31.250.226","96.31.250.226","Blocked","http://redir.adap.tv/redir/client/FPSDetector.swf","Enterprise Malware"
"2014-06-09","19:25:15","Adam","96.31.250.226","96.31.250.226","Blocked","http://redir.adap.tv/redir/client/FPSDetector.swf","Enterprise Malware"
